w,p,LL_diff,LL_diff_log
0.44,0.25,1761.229827,3.245816032
0.45,0.25,3666.932062,3.564302864
0.46,0.25,1619.319222,3.209332471
0.47,0.25,3339.681256,3.523705019
0.48,0.25,2147.543394,3.331941948
0.49,0.25,1605.412657,3.205586683
0.5,0.25,3609.141875,3.557403954
0.51,0.25,2226.246316,3.347573214
0.52,0.25,2168.988696,3.336257289
0.53,0.25,6327.582159,3.801237793
0.54,0.25,4705.289201,3.672586322
0.55,0.25,7491.528485,3.874570435
0.56,0.25,4635.203913,3.666068844
0.57,0.25,3856.762233,3.586222866
0.58,0.25,2746.113749,3.438718522
0.59,0.25,1748.926557,3.242771573
0.6,0.25,6773.271668,3.830798495
0.61,0.25,9570.710021,3.980944158
0.62,0.25,13490.63115,4.130032268
0.63,0.25,13413.66691,4.127547518
0.64,0.25,18062.18077,4.256770184
0.65,0.25,20841.16236,4.318921937
0.66,0.25,189.0608925,2.276601704
0.67,0.25,11788.79331,4.071469353
0.68,0.25,11209.85693,4.04960007
0.69,0.25,12793.08507,4.106975288
0.7,0.25,13411.56449,4.127479442
0.71,0.25,31744.21794,4.501664632
0.72,0.25,58585.01062,4.767786513
0.73,0.25,32506.50798,4.511970318
0.74,0.25,12377.18282,4.092621806
0.75,0.25,27484.85718,4.439093485
0.76,0.25,6315.205932,3.800387517
0.77,0.25,44982.19035,4.653040599
0.78,0.25,19536.29742,4.290842258
0.79,0.25,54958.41399,4.740034191
0.8,0.25,29875.29946,4.475312267
0.81,0.25,185282.5662,5.267834557
0.82,0.25,46316.42741,4.665735053
0.83,0.25,1203.364298,3.080397122
0.84,0.25,36760.95596,4.565386797
0.85,0.25,112183.8359,5.049930286
0.86,0.25,6319.545008,3.800685811
0.87,0.25,21037.40996,4.32299227
0.88,0.25,13098.76315,4.117230289
0.89,0.25,46850.61314,4.670715279
0.9,0.25,39942.66297,4.601437016
0.91,0.25,91725.91773,4.962492066
0.92,0.25,30569.11855,4.485282916
0.93,0.25,15079.06078,4.178374292
0.94,0.25,14314.57965,4.1557786
0.95,0.25,99932.33093,4.999706017
0.96,0.25,171845.9452,5.235139289
0.97,0.25,17952.96839,4.254136266
0.98,0.25,66631.08041,4.823676855
0.99,0.25,35476.43446,4.549939965
1,0.25,20707.72589,4.316132408
0,0.26,0,#NAME?
0.01,0.26,0,#NAME?
0.02,0.26,2.87433142,0.458536842
0.03,0.26,1.837269273,0.264172812
0.04,0.26,6.843658824,0.835288351
0.05,0.26,0,#NAME?
0.06,0.26,3.966056098,0.598358853
0.07,0.26,4.924234051,0.692338687
0.08,0.26,5.358316051,0.729028326
0.09,0.26,11.24062361,1.050790406
0.1,0.26,21.01774453,1.322586109
0.11,0.26,12.56703251,1.099232739
0.12,0.26,6.641888657,0.822291591
0.13,0.26,12.85094223,1.108934971
0.14,0.26,0,#NAME?
0.15,0.26,13.3914357,1.12682714
0.16,0.26,27.62794104,1.441348521
0.17,0.26,45.21153758,1.655249277
0.18,0.26,32.02871414,1.505539503
0.19,0.26,31.77218272,1.502047051
0.2,0.26,70.28287674,1.846849529
0.21,0.26,54.75741996,1.738442977
0.22,0.26,72.83511061,1.862340784
0.23,0.26,35.96950464,1.555934457
0.24,0.26,243.0868582,2.385761481
0.25,0.26,33.54252391,1.525595738
0.26,0.26,222.5549669,2.347437291
0.27,0.26,122.672699,2.08874792
0.28,0.26,247.8917089,2.394262001
0.29,0.26,58.51219247,1.767246372
0.3,0.26,155.7540062,2.192439226
0.31,0.26,52.40774247,1.719395452
0.32,0.26,226.2792774,2.354644783
0.33,0.26,424.1525776,2.627522111
0.34,0.26,1836.993267,3.264107564
0.35,0.26,163.804953,2.21432703
0.36,0.26,951.2544798,2.978296715
0.37,0.26,661.3336986,2.820420653
0.38,0.26,2263.807067,3.354839411
0.39,0.26,912.774053,2.960363286
0.4,0.26,1148.478566,3.060122894
0.41,0.26,296.9938263,2.472747422
0.42,0.26,192.1256278,2.2835853
0.43,0.26,1279.110227,3.106907971
0.44,0.26,1238.66128,3.092952562
0.45,0.26,585.908672,2.767829926
0.46,0.26,4846.443078,3.685423116
0.47,0.26,3077.937165,3.48825975
0.48,0.26,2473.15232,3.393250865
0.49,0.26,2206.851501,3.343773111
0.5,0.26,1372.585051,3.137539265
0.51,0.26,473.5754695,2.675389198
0.52,0.26,5329.068196,3.726651278
0.53,0.26,588.4279954,2.769693327
0.54,0.26,532.8916823,2.726638942
0.55,0.26,3940.37293,3.595537327
0.56,0.26,9218.724072,3.964670816
0.57,0.26,473.4526865,2.675276585
0.58,0.26,4748.314679,3.676539493
0.59,0.26,5197.691041,3.715810461
0.6,0.26,4305.664157,3.634040152
0.61,0.26,12962.43522,4.112686599
0.62,0.26,5502.739264,3.740578935
0.63,0.26,8065.235509,3.906617054
0.64,0.26,16862.60137,4.226924574
0.65,0.26,5416.001331,3.733678762
0.66,0.26,6296.875543,3.79912511
0.67,0.26,8616.830947,3.935347573
